,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL,Type
1.3563.34,0.288,1.0,1.0,0.396449704142,-9.8825812765,-0.263217872815,0.8673617117,0.256326811628,0.0,292.559226746,21.2929854598,0.211743772242,0.421708185053,0.516014234875,0.729537366548,0.886120996441,0.237319572089,0.0831549034684,0.022818805323,0.0360403635028,0.0,-2.08135930014,-0.22000284306,-0.60523608513,0.0400249250913,0.00364063839001,0.00287759604865,0.00607242647017,0.0,-2.23209148191,-1.57994944561,-1.25900532831,0.0136700664273,0.00323837591893,0.00159654992191,0.00413783737383,0.0,-1.40119417692,-0.153088628333,-0.512619703464,-2.90338054159e-06,4.01516841237,-8.571772612,-0.0209974400152,0.147,0.210481825866,-0.0333333333333,-0.037667638484,-0.0655393586006,4.99299714792,5.04709845951e-217,0.227305880194,0.0223398537626,0.2895,0.11425,0.0294660406731,-0.0855499268633,0.938439000034,-1.21715517724,0.179985281244,34.530329418,0.805661656767,0.888906299912,26.4994855294,CEPH
1.3565.47,0.3505,1.0,1.0,0.452145214521,-20.6279275797,-0.492237716384,0.390074124558,0.229799391407,0.0,428.941196745,46.5924814596,0.220389805097,0.368815592204,0.538230884558,0.697151424288,0.863568215892,0.270182465903,0.114312803175,0.0386562082661,0.0254295037565,0.0,2.09712043009,0.737117778624,-0.23835355033,0.0353085433576,0.0039852861783,0.00417302902505,0.00410109230369,0.0,-0.678602851522,-0.063570981502,0.676655580532,0.0273015008101,0.0154417976619,0.00452643014415,0.00160599217307,0.0,0.741937447492,-1.46523564095,-0.149510562522,-1.11685339248e-07,3.14498253425,-8.04642079208,-0.0273818810822,0.1525,0.30198019802,-0.166666666667,-0.0678178178178,-0.0834584584585,3.08084253007,5.73105115949e-95,0.222724381927,0.151094855644,0.35925,0.1135,0.0565832086447,-0.45385809084,0.545879999991,-0.812922157481,0.220326137266,31.5953448586,0.830091607303,0.829711338818,26.1443920859,CEPH
1.3565.87,0.1535,1.0,1.0,0.433962264151,-36.1646818165,0.302210108096,0.208850941672,0.130348933064,0.0,2126.61659477,93.6754162786,0.286713286713,0.468531468531,0.625874125874,0.772727272727,0.902097902098,0.130573097251,0.0218981989761,0.00624977776505,0.000621011303833,0.0,-2.54921455118,-2.37127194804,-1.64091992137,0.00940183789987,0.00206646584609,0.000404926854109,0.000978183929952,0.0,0.796411361314,0.179540055801,-0.814519271922,0.00962184993543,0.00293211196865,0.0035168446155,0.00248897766654,0.0,-1.42879758798,-1.92087779709,-0.587626030203,6.21381541503e-07,4.84669687222,-7.55302785265,-0.0132883748847,0.086,0.382749326146,-0.0333333333333,-0.0554156171285,-0.0379159485616,1.26559221528,1.91759569451e-201,0.227962809732,0.250149026209,0.179,0.057,0.0466745576222,-0.0127055161048,0.342639000002,-0.549888806341,0.10036746562,7.02032281135,0.7846292875,0.868060973302,5.17982088668,CEPH
1.3567.1010,0.278,1.0,1.0,0.470142977292,-18.2942034383,-0.391909506726,0.39220877841,0.376892082322,0.0,106.459248903,37.1820677853,0.2265917603,0.434456928839,0.595505617978,0.75468164794,0.925093632959,0.235776213908,0.0862021731759,0.0351759100895,0.0094192867029,0.0,-0.250306923575,-0.24664119162,0.00482661728604,0.0136885150368,0.00623295798657,0.00438134777098,0.00247539453201,0.0,1.76187366127,-0.100424613327,1.84683107232,0.00806411929431,0.000947495542817,0.000273394809986,0.00130283853278,0.0,0.383514309846,-0.0310756187696,0.158249221487,1.70333355715e-05,9.03522870103,-7.17514718251,-0.0250614350831,0.146,0.231286795627,-0.0333333333333,-0.0625875105013,-0.0747689722767,2.92649594688,7.57117779252e-216,0.221787186322,0.0427345617012,0.319,0.10225,0.0433356375024,-0.395858055263,0.456852000003,-1.17120248289,0.179819485326,16.5830861128,0.800969830958,0.895611331833,12.710925295,CEPH
1.3570.29,0.1875,1.0,1.0,0.453625632378,-29.4325628267,-0.328900342848,0.281580557071,0.144928966052,0.0,198.3101322,79.2704209416,0.283333333333,0.486111111111,0.688888888889,0.827777777778,0.933333333333,0.177792612811,0.00551788189238,0.00928017412212,0.0113947002276,0.0,-1.38122666647,-1.53192663581,-0.859338970865,0.0140464937244,0.0100033612646,0.00240020014584,0.000627593256167,0.0,-2.15506122428,-0.0671688750075,-2.41697518683,0.0108896950553,0.00197614010718,0.00264207220129,0.0020412137413,0.0,0.317108977483,1.92106839522,2.43857396894,-7.34159827107e-06,8.73822975681,-8.28763743676,-0.0152555998567,0.1225,0.205733558179,0.166666666667,-0.0374299318908,-0.0433970224821,2.31593050078,3.02214811909e-241,0.229985715738,0.0718781306894,0.248,0.076,0.0325307384249,0.047739019039,0.462683999998,-1.4086135314,0.126432880493,20.2862524936,0.813635157475,0.894587000188,15.9983570709,CEPH
1.3570.32,0.31825,1.0,1.0,0.470389170897,-23.1901829167,0.471661357526,0.342034245521,0.149460650993,0.0,113.070463096,24.6124694942,0.220228384992,0.393148450245,0.539967373573,0.698205546493,0.877650897227,0.246055621866,0.0969785655639,0.045154997812,0.0223640697886,0.0,-0.104096085591,-0.187699059176,0.0813736579818,0.018574499043,0.0074187946052,0.00152939895044,0.000980510703542,0.0,1.83768296231,2.41724419477,1.74275396383,0.0143277555165,0.000841464193886,0.0031050765896,0.0019625956292,0.0,1.81094207906,1.31866651048,2.98672066099,-6.54371481831e-06,4.38694326537,-7.93183671743,-0.0250494578617,0.148,0.215736040609,0.0333333333333,-0.0626506024096,-0.0777425491439,2.6877262924,2.63538336637e-197,0.220126089487,0.0421425414385,0.33075,0.094,0.0309681905482,-0.528046278359,0.348783000009,-0.970901241711,0.198688209619,26.4612961899,0.782272290017,0.882595384592,18.5454491555,CEPH
1.3571.25,0.1035,1.0,1.0,0.47691015953,-25.4548750994,-0.163591746743,0.333752625734,0.111916093499,0.0,175.057095765,33.9007330058,0.311224489796,0.505102040816,0.683673469388,0.821428571429,0.923469387755,0.0949724701946,0.00579858504724,0.000924820384535,0.00259659772359,0.0,1.14060915593,2.95833910945,1.6245480175,0.00664016654737,0.000681137900601,9.69896563236e-05,0.00118556002075,0.0,1.04536509986,-1.17536218317,-0.512744231746,0.00578056685985,0.00118571963124,0.00132326694705,0.000374372659738,0.0,-0.704376714552,-1.39316433771,-0.618021409863,1.27280664505e-06,2.48138958118,-8.49563140218,-0.00813485377637,0.066,0.1973131822,0.233333333333,-0.0182567726737,-0.02308598351,2.46842800727,1.25852264519e-240,0.22410094409,0.101984822937,0.133,0.041,0.0324496709725,-0.0775801465171,0.577835000004,-1.4077097767,0.0691107191947,12.2422871274,0.831328541375,0.892208057384,9.8696563272,CEPH
1.3571.31,0.379,1.0,1.0,0.456779661017,-18.7207296214,-0.504761600818,0.432350099901,0.230176718352,0.0,32.0088492315,15.4169020107,0.222222222222,0.378600823045,0.541838134431,0.735253772291,0.916323731139,0.300526813206,0.139115835888,0.0729691404088,0.0343046035857,0.0,0.357666976678,-2.31209140962,-2.0637174036,0.0160704250935,0.00239943793211,0.00164046520653,0.00128188239789,0.0,0.987881141021,-0.31526149566,-0.319143225225,0.0108290483218,0.00332745623532,0.00278371693285,0.00223018234483,0.0,-2.10548032121,-0.477676260693,-1.36348687503,-4.71702855177e-06,1.89488381388,-8.09390932203,-0.0296482012022,0.177,0.211016949153,0.0333333333333,-0.0693735209864,-0.0907958649894,3.2652053296,8.36287287744e-196,0.216568796423,0.0191223911571,0.3945,0.12525,0.0218860263168,-0.532311877255,0.348783000009,-1.00245218078,0.239969852092,38.1744693946,0.804238010178,0.855855221297,27.3771426012,CEPH
1.3572.23,0.5875,1.0,1.0,0.482876712329,-23.6823819879,0.880103126901,0.33821367646,0.125134378199,0.0,211.820961131,33.563266316,0.188596491228,0.369298245614,0.520175438596,0.7,0.898245614035,0.438851146798,0.208035085741,0.106095518331,0.0756082606626,0.0,-0.0775165176224,-0.271920182463,0.164888642157,0.0417279260512,0.00416542132373,0.0036168765042,0.00430458044288,0.0,-0.742823637518,0.729663591329,0.770130901943,0.0354977892504,0.017137057877,0.0014493582282,0.0053769686372,0.0,1.9694103093,2.09058078473,1.88325707203,3.02956408609e-07,13.3453969536,-8.00970547945,-0.0463475152648,0.252,0.243150684932,-0.0333333333333,-0.115973188314,-0.144176046541,2.57492935079,2.11747099562e-179,0.224910803561,0.066675911423,0.5925,0.1645,0.0235747829262,-0.659977376272,0.462268000003,-0.843255120997,0.371229946976,29.8943181205,0.79398705739,0.867575354314,19.9307599675,CEPH
1.3683.25,0.2035,1.0,1.0,0.437722419929,-27.8419772995,-0.350015604539,0.305504861925,0.0828322987183,0.0,456.705985385,35.9638206699,0.313131313131,0.517676767677,0.714646464646,0.85101010101,0.949494949495,0.196203229428,0.0302021490724,0.00644301128406,0.00784161394852,0.0,0.29671249947,0.292613147187,0.329943118526,0.00900797572944,0.000418584307514,0.000272517198274,0.00161759594281,0.0,-1.71293058832,-0.854873986508,-2.20571501503,0.00699393248754,0.000586501493984,0.000978506809671,0.000445232954851,0.0,-1.52999321843,-1.71957909264,0.621738274325,-3.47522788994e-06,5.96868884746,-8.5058594306,-0.0166231994118,0.141,0.157473309609,0.233333333333,-0.029992942837,-0.0465772759351,2.15159840221,2.38304952751e-232,0.233109295487,0.024802261155,0.283,0.0895,0.0277679555841,-0.0291165296484,0.411668000015,-1.47767377258,0.141394597484,26.4122181924,0.83976088708,0.882633993846,21.5505520483,CEPH
1.3685.41,0.428,1.0,1.0,0.477209302326,-20.5397127218,0.602601370404,0.398389666552,0.165833440896,0.0,105.555305137,22.1606390218,0.229090909091,0.413333333333,0.57696969697,0.749090909091,0.913939393939,0.347553454533,0.163897217639,0.0817332917877,0.0648558142345,0.0,1.36085759539,2.74684074403,0.66569754424,0.0391705473291,0.0166647519712,0.00262377942993,0.00599663243353,0.0,-0.275261950947,-1.95116430668,-2.19245087021,0.0329246275563,0.00911637913917,0.00951259230132,0.00558952007855,0.0,-0.537251579072,0.564746426599,0.320104247258,1.69809105326e-05,4.21969189415,-8.18280930233,-0.0337099280436,0.22,0.201860465116,-0.1,-0.0754461538462,-0.101538461538,3.09070692935,8.81153343415e-177,0.234817045234,0.0833380678863,0.4755,0.14825,0.0325127557887,-0.453400348439,0.492364000005,-1.10398345507,0.275841912776,41.7294014753,0.808323144249,0.854093882824,30.1004196196,CEPH
1.3686.7,0.514,1.0,2.0,0.418666666667,-2.4568883416,0.226028615526,4.09403564424,0.356209720693,0.0,150.340247956,9.14362959598,0.299502487562,0.455721393035,0.589054726368,0.785074626866,0.935323383085,0.446496124644,0.14092663131,0.0566197605196,0.0574934021757,0.0,1.36190191969,2.1276047903,2.6145598958,0.0490921348635,0.0112181683703,0.007437624173,0.00307956494149,0.0,1.18222063725,0.847235947103,-0.771798860303,0.0396978839592,0.00531219699412,0.00633334537931,0.00437274901296,0.0,-2.13694529277,-1.92805020285,-0.559683414392,1.70512040875e-05,8.44459811715,-10.0585884444,-0.0337310097033,0.299,0.141333333333,0.166666666667,-0.0641780616828,-0.100309412117,17.5227488691,1.74344548525e-207,0.229224091473,0.0465466168233,0.592,0.2225,0.0548116659675,-0.165878226963,2.63193600008,-1.33955263718,0.339286344422,128.629826129,0.828601583507,0.881555506622,106.699280927,CEPH
1.3689.21,0.21125,1.0,2.0,0.438698915763,-3.1898741453,-0.108282143153,2.91269828451,0.348288684969,0.0,68.8340282909,17.353009318,0.222772277228,0.418316831683,0.608910891089,0.816831683168,0.928217821782,0.188958634594,0.0158511117231,0.0178053751555,0.00425326984528,0.0,-0.081470980192,0.195397613969,1.50780130033,0.0147400070365,0.00258753098554,0.00128652714908,0.000266119438939,0.0,-1.78471594664,-2.37226756514,-0.629031411261,0.013575854456,0.00428242221272,0.00488667188607,0.00174697909476,0.0,2.11603310179,0.474401130711,0.570179891383,4.04904433228e-06,5.67514677299,-9.29114095079,-0.0147380485465,0.121,0.259382819016,-0.166666666667,-0.0386063017529,-0.0434455317776,10.7067862219,1.09407925909e-243,0.217413485225,0.0615488279421,0.245,0.088,0.0388429926558,0.170003849536,2.19328000006,-1.24905198163,0.136933286385,42.7008061043,0.81594284712,0.891199557904,33.6035553266,CEPH
1.3691.19,0.229,1.0,1.0,0.491198658843,-21.4354165805,-0.342750841505,0.404206526926,0.10437874743,0.0,104.574622653,23.3944604673,0.293064876957,0.512304250559,0.693512304251,0.856823266219,0.950782997763,0.220429780028,0.0132705714149,0.0119197875807,0.00990632108443,0.0,0.67152433529,0.0137084495696,0.891111170141,0.00826312608474,0.000923983985936,0.00134960669921,0.0014931526236,0.0,2.32595775514,0.62749633499,1.06742902079,0.0070157009321,0.00155215613305,0.000951622572648,0.00100299304371,0.0,2.5561618741,2.2027774478,1.79523166847,5.95267474029e-06,3.86729086045,-8.66433528919,-0.0184023378633,0.155,0.160938809723,-0.0333333333333,-0.0343233560615,-0.0516583843754,2.77589731066,2.72962995568e-250,0.238139242884,0.0205561420844,0.31,0.097,0.0534946969841,-0.125178281717,0.657984000019,-1.44906232864,0.159444025353,30.3073293611,0.819640693719,0.888408938901,24.2791870153,CEPH
1.3691.32,0.2155,1.0,1.0,0.441743503772,-31.347685387,-0.369937760483,0.264845953547,0.0494857461902,0.0,542.306443405,120.505879762,0.305,0.505,0.6575,0.7975,0.9,0.185657047352,0.0274966735716,0.00257648982423,0.00278886349626,0.0,0.281229988673,-0.796327238232,-1.3832956176,0.0182635972902,0.00275828902979,0.00233333219582,0.00435173198075,0.0,-0.407819828132,-0.503483005252,-1.48735044414,0.0100915220882,0.00155040102064,0.00104848326713,0.0023028529409,0.0,2.44679050368,0.295089192105,2.01015622709,3.60402358164e-06,10.7877060844,-8.30230762783,-0.017009375351,0.132,0.274937133277,0.1,-0.0594190671327,-0.0482101964566,1.91321484841,1.04461829836e-227,0.232630227838,0.17332088973,0.263,0.082,0.0451476154578,-0.118463375415,0.508390000032,-1.16492625828,0.141217066722,6.74561413583,0.729086553864,0.894264282438,3.9191996646,CEPH
1.3691.37,0.2775,1.0,1.0,0.498736310025,-18.6207638847,0.380715413907,0.445056155872,0.204791396442,0.0,70.2061535178,15.5366128622,0.269158878505,0.461682242991,0.620560747664,0.788785046729,0.923364485981,0.234344543555,0.0921594853383,0.0424983835145,0.0246271100221,0.0,-0.706299639798,-1.18244235229,1.54815070428,0.0183034446056,0.0059166229361,0.00417512839488,0.00109501420301,0.0,-2.15421919159,0.120150959486,-1.24742860495,0.0185913911884,0.00881567203803,0.00391445495697,0.0022204284202,0.0,-2.23976587588,0.617537593878,0.318969595712,-6.34128192459e-06,1.80843938321,-8.28728559393,-0.0222551260774,0.146,0.178601516428,0.0333333333333,-0.0489018323019,-0.0649193059095,3.07378612931,1.95452549254e-206,0.229229546041,0.070661773785,0.332,0.104,0.027058832729,-0.428605116491,0.462452000007,-1.2335380996,0.184434585732,34.8904249427,0.825158037544,0.872361763755,27.3950073999,CEPH
1.3692.16,0.525,1.0,2.0,0.3826745164,-3.11174107846,-0.231085474834,3.09651515447,0.323457967355,0.0,41.9874482343,7.80460777972,0.164256198347,0.327479338843,0.520661157025,0.702479338843,0.844008264463,0.403733268884,0.0763816878941,0.0588174695426,0.0659217318282,0.0,1.77525049742,1.88356751806,0.153177558225,0.0506168825877,0.00978023502389,0.00254566788203,0.00391285909179,0.0,0.659794062334,-0.0898196598351,-0.139865281604,0.0355277361304,0.00954704150159,0.0040669434264,0.00287222040113,0.0,0.293469227865,0.307781257795,1.40216866157,8.03229233385e-06,7.27864360175,-9.63555340622,-0.0314330644143,0.247,0.286795626577,0.0333333333333,-0.0749243451946,-0.10101220912,12.6406476093,1.31084350293e-224,0.220021263272,0.0908666994519,0.505,0.164,0.0400395224052,-0.312310828938,2.42690700002,-0.931823731616,0.302874970885,89.9192850469,0.79349197107,0.878132320211,64.0377169099,CEPH
